DateTime, ElementId, ElementIndex, x, y, z, Temperature, UpstreamJunctionTemperature, DownstreamJunctionTemperature
0, 0, 0, 0.1, 0, 0, 0, 1, 0
0, 1, 1, 0.3, 0, 0, 0, 0, 0
0, 2, 2, 0.5, 0, 0, 0, 0, 0
0, 3, 3, 0.7, 0, 0, 0, 0, 0
0, 4, 4, 0.9, 0, 0, 0, 0, 0
1.157407407e-05, 0, 0, 0.1, 0, 0, 1.026558298, 1, 0.9571245513
1.157407407e-05, 1, 1, 0.3, 0, 0, 0.8876908044, 0.9571245513, 1.071975827
1.157407407e-05, 2, 2, 0.5, 0, 0, 1.25626085, 1.071975827, 0.8064299306
1.157407407e-05, 3, 3, 0.7, 0, 0, 0.3565990108, 0.8064299306, 1.424905116
1.157407407e-05, 4, 4, 0.9, 0, 0, 2.493211221, 1.424905116, 0
2.314814815e-05, 0, 0, 0.1, 0, 0, 1.035682563, 1, 0.9524694898
2.314814815e-05, 1, 1, 0.3, 0, 0, 0.8692564163, 0.9524694898, 1.063291737
2.314814815e-05, 2, 2, 0.5, 0, 0, 1.257327057, 1.063291737, 0.804717469
2.314814815e-05, 3, 3, 0.7, 0, 0, 0.3521078808, 0.804717469, 1.408039639
2.314814815e-05, 4, 4, 0.9, 0, 0, 2.463971397, 1.408039639, 0
3.472222222e-05, 0, 0, 0.1, 0, 0, 1.03563, 1, 0.9524930176
3.472222222e-05, 1, 1, 0.3, 0, 0, 0.8693560347, 0.9524930176, 1.063343305
3.472222222e-05, 2, 2, 0.5, 0, 0, 1.257330576, 1.063343305, 0.8046925852
3.472222222e-05, 3, 3, 0.7, 0, 0, 0.3520545949, 0.8046925852, 1.408211909
3.472222222e-05, 4, 4, 0.9, 0, 0, 2.464369223, 1.408211909, 0
4.62962963e-05, 0, 0, 0.1, 0, 0, 1.0356305, 1, 0.952492666
4.62962963e-05, 1, 1, 0.3, 0, 0, 0.8693548322, 0.952492666, 1.06334311
4.62962963e-05, 2, 2, 0.5, 0, 0, 1.257331388, 1.06334311, 0.8046920783
