DateTime, ElementId, ElementIndex, x, y, z, Temperature, UpstreamJunctionTemperature, DownstreamJunctionTemperature
0.0001157407407, 4, 4, 0.9, 0, 0, 1.88929926e+76, 1.099729665e+76, 0
0.0001273148148, 0, 0, 0.1, 0, 0, 4.752577338e+80, 1, 2.652928289e+81
0.0001273148148, 1, 1, 0.3, 0, 0, 4.830598843e+81, 2.652928289e+81, 1.767955642e+82
0.0001273148148, 2, 2, 0.5, 0, 0, 3.0528514e+82, 1.767955642e+82, 1.085342626e+83
0.0001273148148, 3, 3, 0.7, 0, 0, 1.865400112e+83, 1.085342626e+83, 6.614119736e+83
0.0001273148148, 4, 4, 0.9, 0, 0, 1.136283936e+84, 6.614119736e+83, 0
0.0001388888889, 0, 0, 0.1, 0, 0, 2.858349336e+88, 1, 1.595554427e+89
0.0001388888889, 1, 1, 0.3, 0, 0, 2.905273921e+89, 1.595554427e+89, 1.063304072e+90
0.0001388888889, 2, 2, 0.5, 0, 0, 1.836080752e+90, 1.063304072e+90, 6.527591564e+90
0.0001388888889, 3, 3, 0.7, 0, 0, 1.121910238e+91, 6.527591564e+90, 3.977939424e+91
0.0001388888889, 4, 4, 0.9, 0, 0, 6.83396861e+91, 3.977939424e+91, 0
0.000150462963, 0, 0, 0.1, 0, 0, 1.719101099e+96, 1, 9.596165644e+96
0.000150462963, 1, 1, 0.3, 0, 0, 1.747323019e+97, 9.596165644e+96, 6.395044776e+97
0.000150462963, 2, 2, 0.5, 0, 0, 1.104276653e+98, 6.395044776e+97, 3.925898662e+98
0.000150462963, 3, 3, 0.7, 0, 0, 6.747520671e+98, 3.925898662e+98, 2.392457755e+99
0.000150462963, 4, 4, 0.9, 0, 0, 4.110163444e+99, 2.392457755e+99, 0
0.000162037037, 0, 0, 0.1, 0, 0, 1.033921415e+104, 1, 5.771435528e+104
0.000162037037, 1, 1, 0.3, 0, 0, 1.050894964e+105, 5.771435528e+104, 3.846180859e+105
