DateTime, ElementId, ElementIndex, x, y, z, Depth, Width, XSectionArea, Dispersion, Temperature, TotalAdvDispHeatBalance, TotalExternalHeatFluxesBalance, TotalRadFluxesHeatBalance, TotalEvapFluxHeatBalance, TotalConvFluxHeatBalance, TotalHeatBalance, Salinity, TotalAdvDispMassBalance_Salinity, TotalExternalFluxMassBalance_Salinity,TotalMassBalance_Salinity
58181.00139, E10, 9, 0.95, 0, 0, 0.1, 1, 0.1, 0.1, 0.07738770002, 3.237901369, 0, 0, 0, 0, 3.237901369, 0.07738769998, 0.7738769998, 0, 0.7738769998
58181.00208, E1, 0, 0.05, 0, 0, 0.1, 1, 0.1, 0.1, 0.968742915, 40.53220356, 0, 0, 0, 0, 40.53220356, 0.9687429149, 9.687429149, 0, 9.687429149
58181.00208, E2, 1, 0.15, 0, 0, 0.1, 1, 0.1, 0.1, 0.9031030365, 37.78583105, 0, 0, 0, 0, 37.78583105, 0.9031030365, 9.031030365, 0, 9.031030365
58181.00208, E3, 2, 0.25, 0, 0, 0.1, 1, 0.1, 0.1, 0.83089917, 34.76482127, 0, 0, 0, 0, 34.76482127, 0.83089917, 8.3089917, 0, 8.3089917
58181.00208, E4, 3, 0.35, 0, 0, 0.1, 1, 0.1, 0.1, 0.7514749171, 31.44171053, 0, 0, 0, 0, 31.44171053, 0.7514749171, 7.514749171, 0, 7.514749171
58181.00208, E5, 4, 0.45, 0, 0, 0.1, 1, 0.1, 0.1, 0.6641082387, 27.78628871, 0, 0, 0, 0, 27.78628871, 0.6641082386, 6.641082386, 0, 6.641082386
58181.00208, E6, 5, 0.55, 0, 0, 0.1, 1, 0.1, 0.1, 0.5680048926, 23.7653247, 0, 0, 0, 0, 23.7653247, 0.5680048927, 5.680048927, 0, 5.680048927
58181.00208, E7, 6, 0.65, 0, 0, 0.1, 1, 0.1, 0.1, 0.4622912117, 19.3422643, 0, 0, 0, 0, 19.3422643, 0.4622912116, 4.622912116, 0, 4.622912116
58181.00208, E8, 7, 0.75, 0, 0, 0.1, 1, 0.1, 0.1, 0.3460061629, 14.47689786, 0, 0, 0, 0, 14.47689786, 0.346006163, 3.46006163, 0, 3.46006163
58181.00208, E9, 8, 0.85, 0, 0, 0.1, 1, 0.1, 0.1, 0.2180926091, 9.124994765, 0, 0, 0, 0, 9.124994765, 0.218092609, 2.18092609, 0, 2.18092609
58181.00208, E10, 9, 0.95, 0, 0, 0.1, 1, 0.1, 0.1, 0.07738770005, 3.23790137, 0, 0, 0, 0, 3.23790137, 0.07738770015, 0.7738770015, 0, 0.7738770015
58181.00278, E1, 0, 0.05, 0, 0, 0.1, 1, 0.1, 0.1, 0.968742915, 40.53220356, 0, 0, 0, 0, 40.53220356, 0.968742915, 9.68742915, 0, 9.68742915
58181.00278, E2, 1, 0.15, 0, 0, 0.1, 1, 0.1, 0.1, 0.9031030365, 37.78583105, 0, 0, 0, 0, 37.78583105, 0.9031030364, 9.031030364, 0, 9.031030364
58181.00278, E3, 2, 0.25, 0, 0, 0.1, 1, 0.1, 0.1, 0.83089917, 34.76482127, 0, 0, 0, 0, 34.76482127, 0.8308991701, 8.308991701, 0, 8.308991701
58181.00278, E4, 3, 0.35, 0, 0, 0.1, 1, 0.1, 0.1, 0.751474917, 31.44171053, 0, 0, 0, 0, 31.44171053, 0.751474917, 7.51474917, 0, 7.51474917
58181.00278, E5, 4, 0.45, 0, 0, 0.1, 1, 0.1, 0.1, 0.6641082387, 27.78628871, 0, 0, 0, 0, 27.78628871, 0.6641082387, 6.641082387, 0, 6.641082387
58181.00278, E6, 5, 0.55, 0, 0, 0.1, 1, 0.1, 0.1, 0.5680048925, 23.7653247, 0, 0, 0, 0, 23.7653247, 0.5680048925, 5.680048925, 0, 5.680048925
58181.00278, E7, 6, 0.65, 0, 0, 0.1, 1, 0.1, 0.1, 0.4622912117, 19.3422643, 0, 0, 0, 0, 19.3422643, 0.4622912118, 4.622912118, 0, 4.622912118
58181.00278, E8, 7, 0.75, 0, 0, 0.1, 1, 0.1, 0.1, 0.3460061629, 14.47689786, 0, 0, 0, 0, 14.47689786, 0.3460061629, 3.460061629, 0, 3.460061629
58181.00278, E9, 8, 0.85, 0, 0, 0.1, 1, 0.1, 0.1, 0.2180926091, 9.124994766, 0, 0, 0, 0, 9.124994766, 0.2180926092, 2.180926092, 0, 2.180926092
58181.00278, E10, 9, 0.95, 0, 0, 0.1, 1, 0.1, 0.1, 0.07738770003, 3.237901369, 0, 0, 0, 0, 3.237901369, 0.07738769999, 0.7738769999, 0, 0.7738769999
58181.00347, E1, 0, 0.05, 0, 0, 0.1, 1, 0.1, 0.1, 0.9687429149, 40.53220356, 0, 0, 0, 0, 40.53220356, 0.968742915, 9.68742915, 0, 9.68742915
58181.00347, E2, 1, 0.15, 0, 0, 0.1, 1, 0.1, 0.1, 0.9031030365, 37.78583105, 0, 0, 0, 0, 37.78583105, 0.9031030365, 9.031030365, 0, 9.031030365
58181.00347, E3, 2, 0.25, 0, 0, 0.1, 1, 0.1, 0.1, 0.83089917, 34.76482127, 0, 0, 0, 0, 34.76482127, 0.83089917, 8.3089917, 0, 8.3089917
58181.00347, E4, 3, 0.35, 0, 0, 0.1, 1, 0.1, 0.1, 0.7514749171, 31.44171053, 0, 0, 0, 0, 31.44171053, 0.751474917, 7.51474917, 0, 7.51474917
58181.00347, E5, 4, 0.45, 0, 0, 0.1, 1, 0.1, 0.1, 0.6641082386, 27.7862887, 0, 0, 0, 0, 27.7862887, 0.6641082387, 6.641082387, 0, 6.641082387
58181.00347, E6, 5, 0.55, 0, 0, 0.1, 1, 0.1, 0.1, 0.5680048926, 23.76532471, 0, 0, 0, 0, 23.76532471, 0.5680048925, 5.680048925, 0, 5.680048925
58181.00347, E7, 6, 0.65, 0, 0, 0.1, 1, 0.1, 0.1, 0.4622912117, 19.3422643, 0, 0, 0, 0, 19.3422643, 0.4622912117, 4.622912117, 0, 4.622912117
58181.00347, E8, 7, 0.75, 0, 0, 0.1, 1, 0.1, 0.1, 0.3460061629, 14.47689786, 0, 0, 0, 0, 14.47689786, 0.3460061629, 3.460061629, 0, 3.460061629
58181.00347, E9, 8, 0.85, 0, 0, 0.1, 1, 0.1, 0.1, 0.2180926091, 9.124994764, 0, 0, 0, 0, 9.124994764, 0.2180926091, 2.180926091, 0, 2.180926091
58181.00347, E10, 9, 0.95, 0, 0, 0.1, 1, 0.1, 0.1, 0.07738770008, 3.237901372, 0, 0, 0, 0, 3.237901372, 0.07738770003, 0.7738770003, 0, 0.7738770003
58181.00417, E1, 0, 0.05, 0, 0, 0.1, 1, 0.1, 0.1, 0.968742915, 40.53220356, 0, 0, 0, 0, 40.53220356, 0.968742915, 9.68742915, 0, 9.68742915
58181.00417, E2, 1, 0.15, 0, 0, 0.1, 1, 0.1, 0.1, 0.9031030364, 37.78583104, 0, 0, 0, 0, 37.78583104, 0.9031030365, 9.031030365, 0, 9.031030365
58181.00417, E3, 2, 0.25, 0, 0, 0.1, 1, 0.1, 0.1, 0.8308991701, 34.76482128, 0, 0, 0, 0, 34.76482128, 0.83089917, 8.3089917, 0, 8.3089917
58181.00417, E4, 3, 0.35, 0, 0, 0.1, 1, 0.1, 0.1, 0.751474917, 31.44171053, 0, 0, 0, 0, 31.44171053, 0.751474917, 7.51474917, 0, 7.51474917
58181.00417, E5, 4, 0.45, 0, 0, 0.1, 1, 0.1, 0.1, 0.6641082387, 27.78628871, 0, 0, 0, 0, 27.78628871, 0.6641082387, 6.641082387, 0, 6.641082387
58181.00417, E6, 5, 0.55, 0, 0, 0.1, 1, 0.1, 0.1, 0.5680048925, 23.7653247, 0, 0, 0, 0, 23.7653247, 0.5680048925, 5.680048925, 0, 5.680048925
58181.00417, E7, 6, 0.65, 0, 0, 0.1, 1, 0.1, 0.1, 0.4622912118, 19.3422643, 0, 0, 0, 0, 19.3422643, 0.4622912117, 4.622912117, 0, 4.622912117
58181.00417, E8, 7, 0.75, 0, 0, 0.1, 1, 0.1, 0.1, 0.3460061629, 14.47689785, 0, 0, 0, 0, 14.47689785, 0.3460061629, 3.460061629, 0, 3.460061629
58181.00417, E9, 8, 0.85, 0, 0, 0.1, 1, 0.1, 0.1, 0.2180926092, 9.124994767, 0, 0, 0, 0, 9.124994767, 0.2180926091, 2.180926091, 0, 2.180926091
58181.00417, E10, 9, 0.95, 0, 0, 0.1, 1, 0.1, 0.1, 0.0773877, 3.237901368, 0, 0, 0, 0, 3.237901368, 0.07738770003, 0.7738770003, 0, 0.7738770003
58181.00486, E1, 0, 0.05, 0, 0, 0.1, 1, 0.1, 0.1, 0.968742915, 40.53220356, 0, 0, 0, 0, 40.53220356, 0.968742915, 9.68742915, 0, 9.68742915
58181.00486, E2, 1, 0.15, 0, 0, 0.1, 1, 0.1, 0.1, 0.9031030364, 37.78583104, 0, 0, 0, 0, 37.78583104, 0.9031030364, 9.031030364, 0, 9.031030364
58181.00486, E3, 2, 0.25, 0, 0, 0.1, 1, 0.1, 0.1, 0.8308991701, 34.76482128, 0, 0, 0, 0, 34.76482128, 0.8308991701, 8.308991701, 0, 8.308991701
58181.00486, E4, 3, 0.35, 0, 0, 0.1, 1, 0.1, 0.1, 0.751474917, 31.44171053, 0, 0, 0, 0, 31.44171053, 0.751474917, 7.51474917, 0, 7.51474917
58181.00486, E5, 4, 0.45, 0, 0, 0.1, 1, 0.1, 0.1, 0.6641082387, 27.78628871, 0, 0, 0, 0, 27.78628871, 0.6641082387, 6.641082387, 0, 6.641082387
58181.00486, E6, 5, 0.55, 0, 0, 0.1, 1, 0.1, 0.1, 0.5680048925, 23.7653247, 0, 0, 0, 0, 23.7653247, 0.5680048925, 5.680048925, 0, 5.680048925
58181.00486, E7, 6, 0.65, 0, 0, 0.1, 1, 0.1, 0.1, 0.4622912118, 19.3422643, 0, 0, 0, 0, 19.3422643, 0.4622912118, 4.622912118, 0, 4.622912118
58181.00486, E8, 7, 0.75, 0, 0, 0.1, 1, 0.1, 0.1, 0.3460061629, 14.47689785, 0, 0, 0, 0, 14.47689785, 0.3460061628, 3.460061628, 0, 3.460061628
58181.00486, E9, 8, 0.85, 0, 0, 0.1, 1, 0.1, 0.1, 0.2180926092, 9.124994767, 0, 0, 0, 0, 9.124994767, 0.2180926092, 2.180926092, 0, 2.180926092
58181.00486, E10, 9, 0.95, 0, 0, 0.1, 1, 0.1, 0.1, 0.0773877, 3.237901368, 0, 0, 0, 0, 3.237901368, 0.07738769996, 0.7738769996, 0, 0.7738769996
58181.00556, E1, 0, 0.05, 0, 0, 0.1, 1, 0.1, 0.1, 0.968742915, 40.53220356, 0, 0, 0, 0, 40.53220356, 0.968742915, 9.68742915, 0, 9.68742915
58181.00556, E2, 1, 0.15, 0, 0, 0.1, 1, 0.1, 0.1, 0.9031030365, 37.78583105, 0, 0, 0, 0, 37.78583105, 0.9031030364, 9.031030364, 0, 9.031030364
58181.00556, E3, 2, 0.25, 0, 0, 0.1, 1, 0.1, 0.1, 0.83089917, 34.76482127, 0, 0, 0, 0, 34.76482127, 0.8308991701, 8.308991701, 0, 8.308991701
58181.00556, E4, 3, 0.35, 0, 0, 0.1, 1, 0.1, 0.1, 0.751474917, 31.44171053, 0, 0, 0, 0, 31.44171053, 0.751474917, 7.51474917, 0, 7.51474917
58181.00556, E5, 4, 0.45, 0, 0, 0.1, 1, 0.1, 0.1, 0.6641082387, 27.78628871, 0, 0, 0, 0, 27.78628871, 0.6641082388, 6.641082388, 0, 6.641082388
58181.00556, E6, 5, 0.55, 0, 0, 0.1, 1, 0.1, 0.1, 0.5680048926, 23.7653247, 0, 0, 0, 0, 23.7653247, 0.5680048925, 5.680048925, 0, 5.680048925
58181.00556, E7, 6, 0.65, 0, 0, 0.1, 1, 0.1, 0.1, 0.4622912117, 19.3422643, 0, 0, 0, 0, 19.3422643, 0.4622912118, 4.622912118, 0, 4.622912118
58181.00556, E8, 7, 0.75, 0, 0, 0.1, 1, 0.1, 0.1, 0.3460061629, 14.47689786, 0, 0, 0, 0, 14.47689786, 0.3460061628, 3.460061628, 0, 3.460061628
58181.00556, E9, 8, 0.85, 0, 0, 0.1, 1, 0.1, 0.1, 0.2180926091, 9.124994765, 0, 0, 0, 0, 9.124994765, 0.2180926092, 2.180926092, 0, 2.180926092
58181.00556, E10, 9, 0.95, 0, 0, 0.1, 1, 0.1, 0.1, 0.07738770005, 3.23790137, 0, 0, 0, 0, 3.23790137, 0.07738769995, 0.7738769995, 0, 0.7738769995
58181.00625, E1, 0, 0.05, 0, 0, 0.1, 1, 0.1, 0.1, 0.9687429151, 40.53220357, 0, 0, 0, 0, 40.53220357, 0.9687429149, 9.687429149, 0, 9.687429149
58181.00625, E2, 1, 0.15, 0, 0, 0.1, 1, 0.1, 0.1, 0.9031030363, 37.78583104, 0, 0, 0, 0, 37.78583104, 0.9031030365, 9.031030365, 0, 9.031030365
58181.00625, E3, 2, 0.25, 0, 0, 0.1, 1, 0.1, 0.1, 0.8308991702, 34.76482128, 0, 0, 0, 0, 34.76482128, 0.83089917, 8.3089917, 0, 8.3089917
58181.00625, E4, 3, 0.35, 0, 0, 0.1, 1, 0.1, 0.1, 0.7514749169, 31.44171052, 0, 0, 0, 0, 31.44171052, 0.7514749171, 7.514749171, 0, 7.514749171
58181.00625, E5, 4, 0.45, 0, 0, 0.1, 1, 0.1, 0.1, 0.6641082388, 27.78628871, 0, 0, 0, 0, 27.78628871, 0.6641082386, 6.641082386, 0, 6.641082386
58181.00625, E6, 5, 0.55, 0, 0, 0.1, 1, 0.1, 0.1, 0.5680048924, 23.7653247, 0, 0, 0, 0, 23.7653247, 0.5680048926, 5.680048926, 0, 5.680048926
58181.00625, E7, 6, 0.65, 0, 0, 0.1, 1, 0.1, 0.1, 0.4622912119, 19.34226431, 0, 0, 0, 0, 19.34226431, 0.4622912117, 4.622912117, 0, 4.622912117
58181.00625, E8, 7, 0.75, 0, 0, 0.1, 1, 0.1, 0.1, 0.3460061627, 14.47689785, 0, 0, 0, 0, 14.47689785, 0.346006163, 3.46006163, 0, 3.46006163
58181.00625, E9, 8, 0.85, 0, 0, 0.1, 1, 0.1, 0.1, 0.2180926093, 9.124994773, 0, 0, 0, 0, 9.124994773, 0.2180926091, 2.180926091, 0, 2.180926091
58181.00625, E10, 9, 0.95, 0, 0, 0.1, 1, 0.1, 0.1, 0.07738769986, 3.237901362, 0, 0, 0, 0, 3.237901362, 0.0773877001, 0.773877001, 0, 0.773877001
58181.00694, E1, 0, 0.05, 0, 0, 0.1, 1, 0.1, 0.1, 0.9687429149, 40.53220356, 0, 0, 0, 0, 40.53220356, 0.968742915, 9.68742915, 0, 9.68742915
58181.00694, E2, 1, 0.15, 0, 0, 0.1, 1, 0.1, 0.1, 0.9031030365, 37.78583105, 0, 0, 0, 0, 37.78583105, 0.9031030365, 9.031030365, 0, 9.031030365
58181.00694, E3, 2, 0.25, 0, 0, 0.1, 1, 0.1, 0.1, 0.83089917, 34.76482127, 0, 0, 0, 0, 34.76482127, 0.83089917, 8.3089917, 0, 8.3089917
58181.00694, E4, 3, 0.35, 0, 0, 0.1, 1, 0.1, 0.1, 0.7514749171, 31.44171053, 0, 0, 0, 0, 31.44171053, 0.7514749171, 7.514749171, 0, 7.514749171
58181.00694, E5, 4, 0.45, 0, 0, 0.1, 1, 0.1, 0.1, 0.6641082386, 27.7862887, 0, 0, 0, 0, 27.7862887, 0.6641082387, 6.641082387, 0, 6.641082387
58181.00694, E6, 5, 0.55, 0, 0, 0.1, 1, 0.1, 0.1, 0.5680048926, 23.76532471, 0, 0, 0, 0, 23.76532471, 0.5680048926, 5.680048926, 0, 5.680048926
58181.00694, E7, 6, 0.65, 0, 0, 0.1, 1, 0.1, 0.1, 0.4622912117, 19.3422643, 0, 0, 0, 0, 19.3422643, 0.4622912117, 4.622912117, 0, 4.622912117
58181.00694, E8, 7, 0.75, 0, 0, 0.1, 1, 0.1, 0.1, 0.3460061629, 14.47689786, 0, 0, 0, 0, 14.47689786, 0.3460061629, 3.460061629, 0, 3.460061629
58181.00694, E9, 8, 0.85, 0, 0, 0.1, 1, 0.1, 0.1, 0.2180926091, 9.124994764, 0, 0, 0, 0, 9.124994764, 0.2180926091, 2.180926091, 0, 2.180926091
58181.00694, E10, 9, 0.95, 0, 0, 0.1, 1, 0.1, 0.1, 0.07738770008, 3.237901371, 0, 0, 0, 0, 3.237901371, 0.07738770006, 0.7738770006, 0, 0.7738770006
58181.00764, E1, 0, 0.05, 0, 0, 0.1, 1, 0.1, 0.1, 0.9687429152, 40.53220357, 0, 0, 0, 0, 40.53220357, 0.968742915, 9.68742915, 0, 9.68742915
58181.00764, E2, 1, 0.15, 0, 0, 0.1, 1, 0.1, 0.1, 0.9031030362, 37.78583103, 0, 0, 0, 0, 37.78583103, 0.9031030364, 9.031030364, 0, 9.031030364
58181.00764, E3, 2, 0.25, 0, 0, 0.1, 1, 0.1, 0.1, 0.8308991703, 34.76482129, 0, 0, 0, 0, 34.76482129, 0.8308991701, 8.308991701, 0, 8.308991701
58181.00764, E4, 3, 0.35, 0, 0, 0.1, 1, 0.1, 0.1, 0.7514749167, 31.44171052, 0, 0, 0, 0, 31.44171052, 0.751474917, 7.51474917, 0, 7.51474917
58181.00764, E5, 4, 0.45, 0, 0, 0.1, 1, 0.1, 0.1, 0.664108239, 27.78628872, 0, 0, 0, 0, 27.78628872, 0.6641082387, 6.641082387, 0, 6.641082387
58181.00764, E6, 5, 0.55, 0, 0, 0.1, 1, 0.1, 0.1, 0.5680048922, 23.76532469, 0, 0, 0, 0, 23.76532469, 0.5680048925, 5.680048925, 0, 5.680048925
