DateTime, ElementId, ElementIndex, x, y, z, Depth, Width, XSectionArea, Dispersion, Temperature, TotalAdvDispHeatBalance, TotalExternalHeatFluxesBalance, TotalRadFluxesHeatBalance, TotalEvapFluxHeatBalance, TotalConvFluxHeatBalance, TotalHeatBalance
6.944444444e-05, 4, 4, 0.9, 0, 0, 0.1, 0, 0.1, 0.1, 0.1569716925, 0.003139433851, 0, 0, 0, 0, 0.003139433851
8.101851852e-05, 0, 0, 0.1, 0, 0, 0.1, 0, 0.1, 0.1, 0.9419017196, 0.01883803439, 0, 0, 0, 0, 0.01883803439
8.101851852e-05, 1, 1, 0.3, 0, 0, 0.1, 0, 0.1, 0.1, 0.7999703655, 0.01599940731, 0, 0, 0, 0, 0.01599940731
8.101851852e-05, 2, 2, 0.5, 0, 0, 0.1, 0, 0.1, 0.1, 0.626775631, 0.01253551262, 0, 0, 0, 0, 0.01253551262
8.101851852e-05, 3, 3, 0.7, 0, 0, 0.1, 0, 0.1, 0.1, 0.4154665772, 0.008309331544, 0, 0, 0, 0, 0.008309331544
8.101851852e-05, 4, 4, 0.9, 0, 0, 0.1, 0, 0.1, 0.1, 0.1575455814, 0.003150911628, 0, 0, 0, 0, 0.003150911628
9.259259259e-05, 0, 0, 0.1, 0, 0, 0.1, 0, 0.1, 0.1, 0.9420270112, 0.01884054022, 0, 0, 0, 0, 0.01884054022
9.259259259e-05, 1, 1, 0.3, 0, 0, 0.1, 0, 0.1, 0.1, 0.8003565501, 0.016007131, 0, 0, 0, 0, 0.016007131
9.259259259e-05, 2, 2, 0.5, 0, 0, 0.1, 0, 0.1, 0.1, 0.6273043569, 0.01254608714, 0, 0, 0, 0, 0.01254608714
9.259259259e-05, 3, 3, 0.7, 0, 0, 0.1, 0, 0.1, 0.1, 0.4159493452, 0.008318986905, 0, 0, 0, 0, 0.008318986905
9.259259259e-05, 4, 4, 0.9, 0, 0, 0.1, 0, 0.1, 0.1, 0.1577539138, 0.003155078275, 0, 0, 0, 0, 0.003155078275
0.0001041666667, 0, 0, 0.1, 0, 0, 0.1, 0, 0.1, 0.1, 0.9420774791, 0.01884154958, 0, 0, 0, 0, 0.01884154958
0.0001041666667, 1, 1, 0.3, 0, 0, 0.1, 0, 0.1, 0.1, 0.8005042409, 0.01601008482, 0, 0, 0, 0, 0.01601008482
0.0001041666667, 2, 2, 0.5, 0, 0, 0.1, 0, 0.1, 0.1, 0.6275111371, 0.01255022274, 0, 0, 0, 0, 0.01255022274
0.0001041666667, 3, 3, 0.7, 0, 0, 0.1, 0, 0.1, 0.1, 0.4161344431, 0.008322688863, 0, 0, 0, 0, 0.008322688863
0.0001041666667, 4, 4, 0.9, 0, 0, 0.1, 0, 0.1, 0.1, 0.1578365743, 0.003156731487, 0, 0, 0, 0, 0.003156731487
0.0001157407407, 0, 0, 0.1, 0, 0, 0.1, 0, 0.1, 0.1, 0.9420968788, 0.01884193758, 0, 0, 0, 0, 0.01884193758
0.0001157407407, 1, 1, 0.3, 0, 0, 0.1, 0, 0.1, 0.1, 0.800562436, 0.01601124872, 0, 0, 0, 0, 0.01601124872
0.0001157407407, 2, 2, 0.5, 0, 0, 0.1, 0, 0.1, 0.1, 0.6275917443, 0.01255183489, 0, 0, 0, 0, 0.01255183489
0.0001157407407, 3, 3, 0.7, 0, 0, 0.1, 0, 0.1, 0.1, 0.4162072871, 0.008324145742, 0, 0, 0, 0, 0.008324145742
0.0001157407407, 4, 4, 0.9, 0, 0, 0.1, 0, 0.1, 0.1, 0.1578685782, 0.003157371564, 0, 0, 0, 0, 0.003157371564
0.0001273148148, 0, 0, 0.1, 0, 0, 0.1, 0, 0.1, 0.1, 0.9421048137, 0.01884209627, 0, 0, 0, 0, 0.01884209627
0.0001273148148, 1, 1, 0.3, 0, 0, 0.1, 0, 0.1, 0.1, 0.8005837164, 0.01601167433, 0, 0, 0, 0, 0.01601167433
0.0001273148148, 2, 2, 0.5, 0, 0, 0.1, 0, 0.1, 0.1, 0.6276227245, 0.01255245449, 0, 0, 0, 0, 0.01255245449
0.0001273148148, 3, 3, 0.7, 0, 0, 0.1, 0, 0.1, 0.1, 0.4162340829, 0.008324681657, 0, 0, 0, 0, 0.008324681657
0.0001273148148, 4, 4, 0.9, 0, 0, 0.1, 0, 0.1, 0.1, 0.1578812587, 0.003157625174, 0, 0, 0, 0, 0.003157625174
0.0001388900463, 0, 0, 0.1, 0, 0, 0.1, 0, 0.1, 0.1, 0.9421091703, 0.01884218341, 0, 0, 0, 0, 0.01884218341
0.0001388900463, 1, 1, 0.3, 0, 0, 0.1, 0, 0.1, 0.1, 0.8005919889, 0.01601183978, 0, 0, 0, 0, 0.01601183978
0.0001388900463, 2, 2, 0.5, 0, 0, 0.1, 0, 0.1, 0.1, 0.627637043, 0.01255274086, 0, 0, 0, 0, 0.01255274086
0.0001388900463, 3, 3, 0.7, 0, 0, 0.1, 0, 0.1, 0.1, 0.4162447397, 0.008324894793, 0, 0, 0, 0, 0.008324894793
0.0001388900463, 4, 4, 0.9, 0, 0, 0.1, 0, 0.1, 0.1, 0.1578876667, 0.003157753333, 0, 0, 0, 0, 0.003157753333
0.000150462963, 0, 0, 0.1, 0, 0, 0.1, 0, 0.1, 0.1, 0.9421090065, 0.01884218013, 0, 0, 0, 0, 0.01884218013
